,Name,ReviewCount,Brand,ImageURL,Price,Rating
1,Peter Thomas Roth Thermal Therapy Duo Skincare Kit,1.0,"peter, thomas, roth",https://i5.walmartimages.com/asr/ecd851ef-6ca7-4fa8-a2e2-e8ef008a3096.1eec4055ad879f5626c2e9a75f07c9ab.jpeg ,35.89,5.0
12,Peter Thomas Roth Face Mask Frenzy Face Mask Kit,1.0,"peter, thomas, roth",https://i5.walmartimages.com/asr/f5fae452-5c37-4689-b4ef-f2572b89ec5b_1.a0685efe4daed987b340fb21d83c3b72.jpeg ,71.99,5.0
11,Jack Black Pit Boss Antiperspirant & Deodorant Stick for Men,3.0,"jack, black",https://i5.walmartimages.com/asr/d03b6f4e-27e3-4eaa-9301-bb4606e9c2eb_1.7c810f9048ac22fd15fe9b6a1746b5be.jpeg ,18.7,5.0
4962,Kinkier Curling Mousse 8 oz (Pack of 2),1.0,göt2b,https://i5.walmartimages.com/asr/9e656b95-79f6-46d1-a210-9781d4f9d1fb_1.0e92caded0cfc78a031a94b4b2f40db4.jpeg,17.96,5.0
22,De Janeiro Carnaval Shimmer Gift Set,2.0,"sol, de, janeiro",https://i5.walmartimages.com/asr/433fca9d-d5c2-41c0-b711-6351fc890770_1.5d190a0f132ad7dba856d9ee593787c9.jpeg,24.0,5.0
27,Julep Stars in Your Eyes Eyeshadow 101 Trio,1.0,julep,https://i5.walmartimages.com/asr/71790424-b71a-40f2-9214-44b352f0d0f9_1.42a08686abb5d5da57e92bc72cdc49bc.jpeg ,24.0,5.0
847,BioSilk Volumizing Therapy Texturizing Powder,2.0,biosilk, https://i5.walmartimages.com/asr/6fdfe33b-673b-4fdb-b649-b7aa576ca97f_1.de813af3449bfcf9ca16c576da56429a.jpeg ,9.99,5.0
845,BioAstin Hawaiian Astaxanthin,3.0,bioastin,https://i5.walmartimages.com/asr/6da9e238-b19e-4c65-a5f3-c0bfd5969654_1.97d5bf762ff3aef306b65ec2a6619353.jpeg ,47.3,5.0
783,Banana Boat Sunscreen Lip Balm Aloe Vera With Vitamin E SPF 45 0.15 oz,1.0,"banana, boat",https://i5.walmartimages.com/asr/1c01447a-af70-4d86-96ca-2d648ca26785_1.3ae03bebbfaf61c519fbb742a49ccef4.jpeg ,4.07,5.0
835,Big Sexy Hair Big Volume Shampoo Sexy Hair 33.8 oz Shampoo Unisex,1.0,"sexy, hair",https://i5.walmartimages.com/asr/149c88e0-b4a7-4d33-83f3-3c94a16da3a0_1.57cf90744c0218aa65cb570100c7f9a8.jpeg,14.99,5.0
